"ID","Type","TypeORE","FormRE","Province","District","Ward","Street","Project","LandNum","BlockName","FloorNum","Area","Height","Width","UsableArea","FrontLength","BackSideLength","Direction","BalconyDirection","Corner","RoadInFront","Juridical","NumOfBed","NumOfFloor","NumOfToilet","ConstructionYear","IsOwner","Furniture","Terrace","CarParking","DinningRoom","Kitchen","AirCond","ADSL","WashingMachine","Balcony","Fridge","Wifi","Pool","Basement","Park","SuperMarket","Clinics","Sea","Hospital","Church","BusStation","School","Temple","Airport","Preschool","PublishDate","StatusORE","Characteristics","Deposit","PricePSM","Price"
"61bc5d671d6c755205578ce1","2","7","17","39","Nhơn Trạch","Phước Thiền","Đường 319","","","","","","43","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","16000000","3440000000"
"61bc5d671d6c755205578ce2","2","7","17","29","Hà Đông","Phú La","Đường Văn La","","","","","","11","4.55","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","123000000","6150000000"
"61bc5d671d6c755205578ce3","2","4","9","43","Thanh Khê","Chính Gián","Đường Lý Thái Tổ","","","","","","15.5","5","71.7","","","7","","","","","3","2","1","","","4","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","3","","34510000","2450000000"
"61bc5d671d6c755205578ce4","2","7","17","61","Thuận An","An Phú","Đường d11 vietsing Giáp D5","","D11","Khu dân cư viêt sing","","","30","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","34330000","10300000000"
"61bc5d671d6c755205578ce5","2","7","17","93","Đồng Phú","Đồng Tâm","Đường Quốc lộ 14","","61","ấp 2 .đồng tâm","","","41","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","2","","2900000","400000000"
"61bc5d671d6c755205578ce6","2","4","","65","Ninh Kiều","An Khánh","Ds 26","","","","","","16","4","144","","","","","","","","3","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","25690000","1850000000"
"61bc5d671d6c755205578ce7","2","4","8","29","Hoài Đức","Kim Chung","đường Lai Xá","","","","","","7","5","175","","","","","","","","4","5","4","","","4","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","3","","78570000","2750000000"
"61bc5d671d6c755205578ce8","2","7","17","62","Tân An","4","Đường Trần Phong Sắc","","","","","","30","8","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","6670000","1600000000"
"61bc5d671d6c755205578ce9","2","7","17","93","Đồng Phú","Tân Phước","Đường ĐT 741","","","","","","30","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","2","","3670000","550000000"
"61bc5d671d6c755205578cea","2","7","17","39","Biên Hòa","An Hoà","Đường Nguyễn Ái Quốc","","","","","","16","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","2","","12490000","999000000"
